"Settings","Settings"
"FLIZpay Settings","FLIZpay Settings"
"FLIZpay Section","FLIZpay Section"
"Welcome to FLIZpay!","Welcome to FLIZpay!"
"Instructions:","Instructions:"
"If you don't yet have a FLIZpay business account, please %1click here%2 to create one.","If you don't yet have a FLIZpay business account, please %1click here%2 to create one."
"Once you have created your account, generate a new API key in your FLIZpay business account and paste it into the ""API Key"" field below. You can find your API keys under ""Set up FLIZ"" > ""Plugins"" > ""Magento"" in your account.","Once you have created your account, generate a new API key in your FLIZpay business account and paste it into the ""API Key"" field below. You can find your API keys under ""Set up FLIZ"" > ""Plugins"" > ""Magento"" in your account."
"Click ""Save Config"".","Click ""Save Config""."
"After approximately five seconds, the page will reload automatically.","After approximately five seconds, the page will reload automatically."
"Once the connection status shows ""Connected"", your FLIZpay extension is configured, and you can start accepting secure, bank-account-based payments while reducing your payment costs.","Once the connection status shows ""Connected"", your FLIZpay extension is configured, and you can start accepting secure, bank-account-based payments while reducing your payment costs."
"Add FLIZpay to your online stores and choose where it appears among your payment methods. Go to %1Payment Methods%2 to configure its availability and move FLIZpay higher in the list to make it easier for customers to find.","Add FLIZpay to your online stores and choose where it appears among your payment methods. Go to %1Payment Methods%2 to configure its availability and move FLIZpay higher in the list to make it easier for customers to find."
"We also recommend activating discounts for your customers. Discounts can encourage customers to choose FLIZpay and support conversion and loyalty. You can configure discount offers in your FLIZpay business account. %1Click here.%2","We also recommend activating discounts for your customers. Discounts can encourage customers to choose FLIZpay and support conversion and loyalty. You can configure discount offers in your FLIZpay business account. %1Click here.%2"
"Still have questions? %1Check out our FAQ page%2.","Still have questions? %1Check out our FAQ page%2."
"Need more details? %1Read our documentation.%2","Need more details? %1Read our documentation.%2"
"API Configuration","API Configuration"
"API Key","API Key"
"Your FLIZpay API key for authentication. Get this from your FLIZpay merchant dashboard.","Your FLIZpay API key for authentication. Get this from your FLIZpay merchant dashboard."
"Connection Status","Connection Status"
"Webhook URL","Webhook URL"
"Automatically configured webhook URL (read-only). FLIZpay must successfully send a test webhook before payments can be processed.","Automatically configured webhook URL (read-only). FLIZpay must successfully send a test webhook before payments can be processed."
"Checkout Settings","Checkout Settings"
"Preview","Preview"
"Logo","Logo"
"Show FLIZpay logo in checkout.","Show FLIZpay logo in checkout."
